,AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,AccountNo_[0],Bet_Amt_[0],Vegas,Sportsbook,Games,Casino,Poker,Bingo,#N/A,Adjustments,CustId,CurrencyCode,DailyDepositLimit,StakeScale,SourceProd,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup,CLASSID,CATEGORYID,product,sub_product,description,bet_or_play
0,01196ZZ   ,24/11/2012,22512_XFER,22512,I,189,29364.0,28947.0,Vegas,01196ZZ   ,29364.0,"89,861","42,758", -   ,"1,262", -   , -   , -   , -   ,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
1,00357DG   ,27/11/2012,22512_XFER,22512,I,1415,19835.0,18639.15,Vegas,00357DG   ,19835.0,"191,805",100,"16,900",20, -   ,50, -   ,295,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
2,00357DG   ,24/11/2012,22512_XFER,22512,I,2026,19280.8,17904.5,Vegas,00357DG   ,19280.8, -   ,"152,613", -   , -   , -   , -   , -   , -   ,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
3,01196ZZ   ,19/12/2012,22512_XFER,22512,I,151,17301.0,16956.0,Vegas,01196ZZ   ,17301.0,"7,030","290,958", -   , -   , -   , -   ,500, -   ,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
4,01284UW   ,21/10/2012,46,5,I,25,16850.0,3319.11,Sportsbook,01284UW   ,16850.0, -   , -   ,"25,785", -   , -   , -   , -   , -   ,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
5,00357DG   ,26/11/2012,22512_XFER,22512,I,1859,16078.5,12299.52,Vegas,00357DG   ,16078.5, -   , -   , -   ,"43,494","46,893", -   , -   , -   ,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
6,00357DG   ,17/11/2012,22512_XFER,22512,I,1469,15204.0,14758.8,Vegas,00357DG   ,15204.0, -   ,200, -   , -   ,"17,465","2,143", -   , -   ,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
7,00357DG   ,30/11/2012,22512_XFER,22512,I,920,15000.0,10169.8,Vegas,00357DG   ,15000.0, -   ,"36,855", -   , -   , -   , -   ,826, -   ,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
8,01284UW   ,14/10/2012,46,5,I,25,13700.0,10781.59,Sportsbook,01284UW   ,13700.0,118,46,141,20, -   ,993, -   , -   ,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
9,01284UW   ,16/10/2012,36,5,I,16,13655.0,20945.93,Sportsbook,01284UW   ,13655.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
10,01284UW   ,03/11/2012,46,5,I,87,13405.14,3500.0,Sportsbook,01284UW   ,13405.14,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
11,01284UW   ,10/10/2012,274,5,I,17,12370.0,0.0,Sportsbook,01284UW   ,12370.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,274,5,Sportsbook,Football,Other League Football,1
